p,scenario,trial,seed,n_transmissions,conclusive_count,conclusive_fraction,qber,exact_qber,difference_from_exact,exact_conclusive_probability,difference_conclusive
0.03,single,22,2515589666,1000,274,0.274,0.051094890510948905,0.03846153846153849,0.012633352049410414,0.25999999999999995,0.014000000000000068
0.03,single,23,3576366089,1000,276,0.276,0.050724637681159424,0.03846153846153849,0.012263099219620932,0.25999999999999995,0.01600000000000007
0.03,single,24,3121066031,1000,267,0.267,0.018726591760299626,0.03846153846153849,-0.019734946701238865,0.25999999999999995,0.007000000000000062
0.03,single,25,3877688330,1000,271,0.271,0.025830258302583026,0.03846153846153849,-0.012631280158955465,0.25999999999999995,0.011000000000000065
0.03,single,26,504404497,1000,249,0.249,0.05622489959839357,0.03846153846153849,0.01776336113685508,0.25999999999999995,-0.010999999999999954
0.03,single,27,2098625074,1000,252,0.252,0.031746031746031744,0.03846153846153849,-0.006715506715506747,0.25999999999999995,-0.007999999999999952
0.03,single,28,927910206,1000,262,0.262,0.03816793893129771,0.03846153846153849,-0.0002935995302407804,0.25999999999999995,0.0020000000000000573
0.03,single,29,35667397,1000,272,0.272,0.03308823529411765,0.03846153846153849,-0.005373303167420844,0.25999999999999995,0.012000000000000066
0.03,single,30,61025066,1000,281,0.281,0.042704626334519574,0.03846153846153849,0.004243087872981083,0.25999999999999995,0.021000000000000074
0.03,single,31,2522034396,1000,256,0.256,0.015625,0.03846153846153849,-0.02283653846153849,0.25999999999999995,-0.003999999999999948
0.03,single,32,3532633285,1000,291,0.291,0.03436426116838488,0.03846153846153849,-0.004097277293153609,0.25999999999999995,0.031000000000000028
0.03,single,33,1825609563,1000,256,0.256,0.0546875,0.03846153846153849,0.01622596153846151,0.25999999999999995,-0.003999999999999948
0.03,single,34,459064542,1000,279,0.279,0.03942652329749104,0.03846153846153849,0.0009649848359525454,0.25999999999999995,0.019000000000000072
0.03,single,35,454353677,1000,265,0.265,0.045283018867924525,0.03846153846153849,0.006821480406386034,0.25999999999999995,0.00500000000000006
0.03,single,36,845065070,1000,250,0.25,0.056,0.03846153846153849,0.01753846153846151,0.25999999999999995,-0.009999999999999953
0.03,single,37,2510221361,1000,262,0.262,0.05343511450381679,0.03846153846153849,0.014973576042278301,0.25999999999999995,0.0020000000000000573
0.03,single,38,969186927,1000,253,0.253,0.03162055335968379,0.03846153846153849,-0.006840985101854699,0.25999999999999995,-0.006999999999999951
0.03,single,39,1580130103,1000,231,0.231,0.04329004329004329,0.03846153846153849,0.004828504828504797,0.25999999999999995,-0.028999999999999942
0.03,single,40,2561935446,1000,234,0.234,0.029914529914529916,0.03846153846153849,-0.008547008547008576,0.25999999999999995,-0.02599999999999994
0.03,single,41,4021910668,1000,265,0.265,0.03018867924528302,0.03846153846153849,-0.008272859216255472,0.25999999999999995,0.00500000000000006
0.03,single,42,3322466439,1000,237,0.237,0.046413502109704644,0.03846153846153849,0.007951963648166152,0.25999999999999995,-0.022999999999999965
0.03,single,43,381760100,1000,252,0.252,0.03968253968253968,0.03846153846153849,0.001221001221001189,0.25999999999999995,-0.007999999999999952
0.03,single,44,3365250854,1000,256,0.256,0.06640625,0.03846153846153849,0.02794471153846151,0.25999999999999995,-0.003999999999999948
0.03,single,45,2339517730,1000,257,0.257,0.011673151750972763,0.03846153846153849,-0.02678838671056573,0.25999999999999995,-0.002999999999999947
0.03,single,46,3203096996,1000,265,0.265,0.026415094339622643,0.03846153846153849,-0.012046444121915849,0.25999999999999995,0.00500000000000006
0.03,single,47,4185495245,1000,267,0.267,0.03745318352059925,0.03846153846153849,-0.0010083549409392392,0.25999999999999995,0.007000000000000062
0.03,single,48,494953868,1000,259,0.259,0.0694980694980695,0.03846153846153849,0.031036531036531007,0.25999999999999995,-0.0009999999999999454
0.03,single,49,4157130318,1000,272,0.272,0.058823529411764705,0.03846153846153849,0.020361990950226214,0.25999999999999995,0.012000000000000066
0.03,single,50,4159925690,1000,242,0.242,0.049586776859504134,0.03846153846153849,0.011125238397965642,0.25999999999999995,-0.01799999999999996
0.04,single,1,864986719,1000,276,0.276,0.05434782608695652,0.050632911392405035,0.0037149146945514855,0.26333333333333325,0.01266666666666677
0.04,single,2,3326439713,1000,245,0.245,0.04897959183673469,0.050632911392405035,-0.0016533195556703434,0.26333333333333325,-0.018333333333333257
0.04,single,3,3979003933,1000,244,0.244,0.01639344262295082,0.050632911392405035,-0.03423946876945422,0.26333333333333325,-0.019333333333333258
0.04,single,4,91456012,1000,254,0.254,0.05905511811023622,0.050632911392405035,0.008422206717831185,0.26333333333333325,-0.009333333333333249
0.04,single,5,193729682,1000,260,0.26,0.038461538461538464,0.050632911392405035,-0.012171372930866571,0.26333333333333325,-0.0033333333333332438
0.04,single,6,1855265462,1000,270,0.27,0.06666666666666667,0.050632911392405035,0.01603375527426163,0.26333333333333325,0.006666666666666765
0.04,single,7,2470305709,1000,266,0.266,0.05639097744360902,0.050632911392405035,0.005758066051203985,0.26333333333333325,0.0026666666666667616
0.04,single,8,1354115074,1000,264,0.264,0.06818181818181818,0.050632911392405035,0.017548906789413142,0.26333333333333325,0.0006666666666667598
0.04,single,9,1512332589,1000,249,0.249,0.040160642570281124,0.050632911392405035,-0.01047226882212391,0.26333333333333325,-0.014333333333333254
0.04,single,10,372338527,1000,272,0.272,0.04411764705882353,0.050632911392405035,-0.0065152643335815025,0.26333333333333325,0.008666666666666767
0.04,single,11,3907069737,1000,258,0.258,0.06589147286821706,0.050632911392405035,0.015258561475812026,0.26333333333333325,-0.0053333333333332456
0.04,single,12,2910247318,1000,275,0.275,0.06181818181818182,0.050632911392405035,0.011185270425776786,0.26333333333333325,0.01166666666666677
0.04,single,13,1712639436,1000,268,0.268,0.04477611940298507,0.050632911392405035,-0.005856791989419963,0.26333333333333325,0.004666666666666763
0.04,single,14,4233166257,1000,263,0.263,0.06463878326996197,0.050632911392405035,0.01400587187755694,0.26333333333333325,-0.0003333333333332411
0.04,single,15,1735462935,1000,265,0.265,0.06037735849056604,0.050632911392405035,0.009744447098161003,0.26333333333333325,0.0016666666666667607
0.04,single,16,2953309125,1000,253,0.253,0.03557312252964427,0.050632911392405035,-0.015059788862760763,0.26333333333333325,-0.01033333333333325
0.04,single,17,3642974802,1000,246,0.246,0.06504065040650407,0.050632911392405035,0.014407739014099037,0.26333333333333325,-0.017333333333333256
0.04,single,18,287589219,1000,256,0.256,0.0703125,0.050632911392405035,0.019679588607594965,0.26333333333333325,-0.007333333333333247
0.04,single,19,133198171,1000,270,0.27,0.07037037037037037,0.050632911392405035,0.01973745897796534,0.26333333333333325,0.006666666666666765
0.04,single,20,3009623074,1000,250,0.25,0.032,0.050632911392405035,-0.018632911392405034,0.26333333333333325,-0.013333333333333253
0.04,single,21,2682003476,1000,268,0.268,0.05223880597014925,0.050632911392405035,0.0016058945777442171,0.26333333333333325,0.004666666666666763
0.04,single,22,1929163243,1000,237,0.237,0.05485232067510549,0.050632911392405035,0.004219409282700454,0.26333333333333325,-0.026333333333333264
0.04,single,23,1068061120,1000,254,0.254,0.051181102362204724,0.050632911392405035,0.000548190969799689,0.26333333333333325,-0.009333333333333249
0.04,single,24,2585755050,1000,263,0.263,0.049429657794676805,0.050632911392405035,-0.0012032535977282294,0.26333333333333325,-0.0003333333333332411
0.04,single,25,1479422692,1000,264,0.264,0.05303030303030303,0.050632911392405035,0.002397391637897997,0.26333333333333325,0.0006666666666667598
0.04,single,26,448458970,1000,227,0.227,0.02643171806167401,0.050632911392405035,-0.024201193330731025,0.26333333333333325,-0.036333333333333245
0.04,single,27,3952077779,1000,259,0.259,0.05405405405405406,0.050632911392405035,0.0034211426616490223,0.26333333333333325,-0.004333333333333245
0.04,single,28,2441212733,1000,281,0.281,0.028469750889679714,0.050632911392405035,-0.02216316050272532,0.26333333333333325,0.017666666666666775
0.04,single,29,2951635826,1000,259,0.259,0.06177606177606178,0.050632911392405035,0.011143150383656743,0.26333333333333325,-0.004333333333333245
0.04,single,30,982687974,1000,260,0.26,0.05384615384615385,0.050632911392405035,0.0032132424537488144,0.26333333333333325,-0.0033333333333332438
0.04,single,31,3934360498,1000,251,0.251,0.04780876494023904,0.050632911392405035,-0.0028241464521659917,0.26333333333333325,-0.012333333333333252
0.04,single,32,3970837447,1000,264,0.264,0.030303030303030304,0.050632911392405035,-0.02032988108937473,0.26333333333333325,0.0006666666666667598
0.04,single,33,1124611152,1000,251,0.251,0.03187250996015936,0.050632911392405035,-0.018760401432245673,0.26333333333333325,-0.012333333333333252
0.04,single,34,4213535012,1000,243,0.243,0.04526748971193416,0.050632911392405035,-0.005365421680470876,0.26333333333333325,-0.02033333333333326
0.04,single,35,3693383011,1000,243,0.243,0.06172839506172839,0.050632911392405035,0.011095483669323357,0.26333333333333325,-0.02033333333333326
0.04,single,36,3540522684,1000,258,0.258,0.023255813953488372,0.050632911392405035,-0.027377097438916663,0.26333333333333325,-0.0053333333333332456
0.04,single,37,1789241926,1000,238,0.238,0.029411764705882353,0.050632911392405035,-0.021221146686522682,0.26333333333333325,-0.025333333333333263
