d,q,gamma,ordering_class,concurrence,T_xx,T_zz,Q,fixed_chsh,s_max,entangled,shared_p,p
0.62,0.62,0.62,2,0.000000000000000e+00,6.576128000000030e-04,1.588750222222229e-02,4.920562488888888e-01,2.339832605544964e-02,3.180221259320441e-02,False,True,0.62
0.63,0.63,0.63,1,0.000000000000000e+00,6.403072000000002e-04,4.004046399999999e-01,2.997976799999998e-01,5.671632034514414e-01,8.008103039467959e-01,False,True,0.63
0.63,0.63,0.63,2,0.000000000000000e+00,6.403071999999998e-04,1.366527999999992e-02,4.931673599999996e-01,2.023115543595084e-02,2.736054610484006e-02,False,True,0.63
0.64,0.64,0.64,1,0.000000000000000e+00,6.071296000000012e-04,4.123878400000002e-01,2.938060800000000e-01,5.840630872001845e-01,8.247765738337067e-01,False,True,0.64
0.64,0.64,0.64,2,0.000000000000000e+00,6.071296000000029e-04,1.159879111111109e-02,4.942006044444446e-01,1.726177861090398e-02,2.322934020504119e-02,False,True,0.64
0.65,0.65,0.65,1,0.000000000000000e+00,5.600000000000023e-04,4.246777777777779e-01,2.876611111111111e-01,6.013770325667298e-01,8.493562939974525e-01,False,True,0.65
0.65,0.65,0.65,2,0.000000000000000e+00,5.600000000000019e-04,9.688888888888858e-03,4.951555555555556e-01,1.449411766592155e-02,1.941011776380906e-02,False,True,0.65
0.66,0.66,0.66,1,0.000000000000000e+00,5.013503999999990e-04,4.372646400000001e-01,2.813676799999999e-01,6.190946007693701e-01,8.745298548284176e-01,False,True,0.66
0.66,0.66,0.66,2,0.000000000000000e+00,5.013503999999986e-04,7.937280000000074e-03,4.960313599999998e-01,1.193402555953398e-02,1.590619577673824e-02,False,True,0.66
0.67,0.67,0.67,1,0.000000000000000e+00,4.340394666666674e-04,4.501390400000002e-01,2.749304800000000e-01,6.372065598219707e-01,9.002784985156101e-01,False,True,0.67
0.67,0.67,0.67,2,0.000000000000000e+00,4.340394666666678e-04,6.346524444444362e-03,4.968267377777777e-01,9.589165443630761e-03,1.272269826452771e-02,False,True,0.67
0.68,0.68,0.68,1,0.000000000000000e+00,3.612672000000014e-04,4.632920177777778e-01,2.683539911111111e-01,6.557047638544111e-01,9.265843172655031e-01,False,True,0.68
