d,q,gamma,v,ordering_class,T_xx,T_yy,T_zz,Q,fixed_chsh,s_max,concurrence,diqkd_rate_raw,chsh_valid,entangled,chsh_violating,shared_p,p
0.004,0.004,0.004,0.6,1,5.818205563518978e-01,-5.818205563518978e-01,5.888936280064001e-01,2.055531859968000e-01,1.655639877182061e+00,1.655670093829290e+00,3.762673703550978e-01,,False,True,False,True,0.004
0.004,0.004,0.004,0.6,2,5.818205563518977e-01,-5.818205563518977e-01,5.888934577948444e-01,2.055532711025778e-01,1.655639636466570e+00,1.655669851663912e+00,3.762672852493198e-01,,False,True,False,True,0.004
0.004,0.004,0.004,0.7,1,6.787906490772142e-01,-6.787906490772142e-01,6.870398993408001e-01,1.564800503296001e-01,1.931576085476238e+00,1.931611315519644e+00,5.223105987476142e-01,,False,True,False,True,0.004
0.004,0.004,0.004,0.7,2,6.787906490772140e-01,-6.787906490772140e-01,6.870397291292444e-01,1.564801354353779e-01,1.931575844760747e+00,1.931611073354728e+00,5.223105136418362e-01,,False,True,False,True,0.004
0.004,0.004,0.004,0.8,1,7.757607418025304e-01,-7.757607418025304e-01,7.851861706752008e-01,1.074069146624000e-01,2.207512293770416e+00,2.207552537215455e+00,6.683538271401308e-01,-3.282944369497147e-01,True,True,True,True,0.004
0.004,0.004,0.004,0.8,2,7.757607418025304e-01,-7.757607418025304e-01,7.851860004636447e-01,1.074069997681778e-01,2.207512053054925e+00,2.207552295050885e+00,6.683537420343528e-01,-3.282949047110031e-01,True,True,True,True,0.004
0.004,0.004,0.004,0.85,1,8.242457881651883e-01,-8.242457881651883e-01,8.342593063424000e-01,8.287034682880008e-02,2.345480397917503e+00,2.345523148064802e+00,7.413754413363883e-01,-1.213266042392516e-01,True,True,True,True,0.004
0.004,0.004,0.004,0.85,2,8.242457881651882e-01,-8.242457881651882e-01,8.342591361308449e-01,8.287043193457783e-02,2.345480157202013e+00,2.345522905900376e+00,7.413753562306107e-01,-1.213271364397748e-01,True,True,True,True,0.004
0.004,0.004,0.004,0.9,1,8.727308345278468e-01,-8.727308345278468e-01,8.833324420096001e-01,5.833377899520002e-02,2.483448502064592e+00,2.483493758914900e+00,8.143970555326470e-01,1.164764010898582e-01,True,True,True,True,0.004
0.004,0.004,0.004,0.9,2,8.727308345278468e-01,-8.727308345278468e-01,8.833322717980446e-01,5.833386410097779e-02,2.483448261349102e+00,2.483493516750601e+00,8.143969704268692e-01,1.164757836725197e-01,True,True,True,True,0.004
0.004,0.004,0.004,0.95,1,9.212158808905047e-01,-9.212158808905047e-01,9.324055776768000e-01,3.379721116160003e-02,2.621416606211680e+00,2.621464369765628e+00,8.874186697289046e-01,3.977645770980683e-01,True,True,True,True,0.004
0.004,0.004,0.004,0.95,2,9.212158808905048e-01,-9.212158808905048e-01,9.324054074652446e-01,3.379729626737782e-02,2.621416365496190e+00,2.621464127601442e+00,8.874185846231271e-01,3.977638305796611e-01,True,True,True,True,0.004
0.004,0.004,0.004,1.0,1,9.697009272531631e-01,-9.697009272531631e-01,9.814787133440004e-01,9.260643328000001e-03,2.759384710358770e+00,2.759434980616894e+00,9.604402839251633e-01,7.569519008621923e-01,True,True,True,True,0.004
0.004,0.004,0.004,1.0,2,9.697009272531628e-01,-9.697009272531628e-01,9.814785431324445e-01,9.260728433777782e-03,2.759384469643278e+00,2.759434738452808e+00,9.604401988193851e-01,7.569508640403536e-01,True,True,True,True,0.004
0.005,0.005,0.005,0.5,1,4.811200910999997e-01,-4.811200910999997e-01,4.884593338888880e-01,2.557703330555555e-01,1.371192372617192e+00,1.371231655006911e+00,2.253497580444437e-01,,False,True,False,True,0.005
0.005,0.005,0.005,0.5,2,4.811200910999996e-01,-4.811200910999996e-01,4.884590016666658e-01,2.557704991666666e-01,1.371191902784019e+00,1.371231181630972e+00,2.253495919333325e-01,,False,True,False,True,0.005
0.005,0.005,0.005,0.6,1,5.773441093199997e-01,-5.773441093199997e-01,5.861462006666660e-01,2.069268996666666e-01,1.645423776072819e+00,1.645470861635017e+00,3.704172096533327e-01,,False,True,False,True,0.005
0.005,0.005,0.005,0.6,2,5.773441093199997e-01,-5.773441093199997e-01,5.861458684444437e-01,2.069270657777777e-01,1.645423306239646e+00,1.645470388261053e+00,3.704170435422215e-01,,False,True,False,True,0.005
0.005,0.005,0.005,0.7,1,6.735681275399994e-01,-6.735681275399994e-01,6.838330674444436e-01,1.580834662777776e-01,1.919655179528445e+00,1.919710068284498e+00,5.154846612622213e-01,,False,True,False,True,0.005
0.005,0.005,0.005,0.7,2,6.735681275399996e-01,-6.735681275399996e-01,6.838327352222213e-01,1.580836323888888e-01,1.919654709695273e+00,1.919709594911945e+00,5.154844951511103e-01,,False,True,False,True,0.005
0.005,0.005,0.005,0.8,1,7.697921457599992e-01,-7.697921457599992e-01,7.815199342222215e-01,1.092400328888888e-01,2.193886582984072e+00,2.193949274947339e+00,6.605521128711100e-01,-3.455578849093740e-01,True,True,True,True,0.005
0.005,0.005,0.005,0.8,2,7.697921457599993e-01,-7.697921457599993e-01,7.815196019999991e-01,1.092401989999999e-01,2.193886113150900e+00,2.193948801575845e+00,6.605519467599990e-01,-3.455587883797450e-01,True,True,True,True,0.005
0.005,0.005,0.005,0.85,1,8.179041548699993e-01,-8.179041548699993e-01,8.303633676111104e-01,8.481831619444442e-02,2.331002284711886e+00,2.331068878282297e+00,7.330858386755545e-01,-1.422001425545344e-01,True,True,True,True,0.005
0.005,0.005,0.005,0.85,2,8.179041548699993e-01,-8.179041548699993e-01,8.303630353888882e-01,8.481848230555554e-02,2.331001814878713e+00,2.331068404911238e+00,7.330856725644435e-01,-1.422011685501692e-01,True,True,True,True,0.005
