d,q,gamma,v,ordering_class,T_xx,T_yy,T_zz,Q,fixed_chsh,s_max,concurrence,diqkd_rate_raw,chsh_valid,entangled,chsh_violating,shared_p,p
0.01,0.01,0.01,0.86,2,7.960250045439998e-01,-7.960250045439998e-01,8.206562375111106e-01,8.967188124444443e-02,2.286332538548518e+00,2.286597881591923e+00,7.063531232995551e-01,-2.010519583124060e-01,True,True,True,True,0.01
0.01,0.01,0.01,0.88,1,8.145372139519996e-01,-8.145372139519996e-01,8.397416511999998e-01,8.012917439999995e-02,2.339503607045130e+00,2.339775129086372e+00,7.344080395519995e-01,-1.176153491707818e-01,True,True,True,True,0.01
0.01,0.01,0.01,0.88,2,8.145372139519997e-01,-8.145372139519997e-01,8.397390023111106e-01,8.013049884444449e-02,2.339499860950538e+00,2.339771326360886e+00,7.344067151075551e-01,-1.176236792135358e-01,True,True,True,True,0.01
0.01,0.01,0.01,0.9,1,8.330494233599998e-01,-8.330494233599998e-01,8.588244159999996e-01,7.058779199999997e-02,2.392670929447150e+00,2.392948573854581e+00,7.624616313599996e-01,-2.961017368092311e-02,True,True,True,True,0.01
0.01,0.01,0.01,0.9,2,8.330494233599998e-01,-8.330494233599998e-01,8.588217671111108e-01,7.058911644444443e-02,2.392667183352558e+00,2.392944771133909e+00,7.624603069155551e-01,-2.961897312248152e-02,True,True,True,True,0.01
0.01,0.01,0.01,0.92,1,8.515616327679997e-01,-8.515616327679997e-01,8.779071807999999e-01,6.104640959999996e-02,2.445838251849171e+00,2.446122018626794e+00,7.905152231679996e-01,6.352651161175737e-02,True,True,True,True,0.01
0.01,0.01,0.01,0.92,2,8.515616327679996e-01,-8.515616327679996e-01,8.779045319111107e-01,6.104773404444442e-02,2.445834505754578e+00,2.446118215910726e+00,7.905138987235549e-01,6.351718128896733e-02,True,True,True,True,0.01
0.01,0.01,0.01,0.94,1,8.700738421759996e-01,-8.700738421759996e-01,8.969899455999998e-01,5.150502720000001e-02,2.499005574251191e+00,2.499295463402754e+00,8.185688149759995e-01,1.625169390375083e-01,True,True,True,True,0.01
0.01,0.01,0.01,0.94,2,8.700738421759998e-01,-8.700738421759998e-01,8.969872967111111e-01,5.150635164444448e-02,2.499001828156599e+00,2.499291660691096e+00,8.185674905315554e-01,1.625069961257644e-01,True,True,True,True,0.01
0.01,0.01,0.01,0.96,1,8.885860515839997e-01,-8.885860515839997e-01,9.160727103999995e-01,4.196364480000000e-02,2.552172896653210e+00,2.552468908182228e+00,8.466224067839995e-01,2.683386272004885e-01,True,True,True,True,0.01
0.01,0.01,0.01,0.96,2,8.885860515839996e-01,-8.885860515839996e-01,9.160700615111108e-01,4.196496924444445e-02,2.552169150558619e+00,2.552465105474794e+00,8.466210823395550e-01,2.683279579067760e-01,True,True,True,True,0.01
