d,q,gamma,ordering_class,T_xx,T_yy,T_zz,Q,fixed_chsh,s_max,diqkd_rate_raw,chsh_valid,chsh_sensitive,regime,shared_p,p
0.039,0.039,0.039,2,7.341789093816953e-01,-7.341789093816953e-01,8.313389455679989e-01,8.433052721599993e-02,2.213976582607093e+00,2.218236338534745e+00,-2.479111185648231e-01,True,True,unmasked,True,0.039
0.04,0.04,0.04,1,7.281838762666664e-01,-7.281838762666664e-01,8.275174399999999e-01,8.624127999999998e-02,2.200093900465995e+00,2.204574218445730e+00,-2.664291672317816e-01,True,True,unmasked,True,0.04
0.04,0.04,0.04,2,7.281838762666663e-01,-7.281838762666663e-01,8.273513244444441e-01,8.632433777777775e-02,2.199858977594407e+00,2.204324814281891e+00,-2.669133367451333e-01,True,True,unmasked,True,0.04
0.041,0.041,0.041,1,7.222273208519042e-01,-7.222273208519042e-01,8.235586262417777e-01,8.822068687911111e-02,2.186071450905624e+00,2.190763441216019e+00,-2.850806783865891e-01,True,True,unmasked,True,0.041
0.041,0.041,0.041,2,7.222273208519041e-01,-7.222273208519041e-01,8.233798604835556e-01,8.831006975822228e-02,2.185818637945859e+00,2.190494645174773e+00,-2.855957886456068e-01,True,True,unmasked,True,0.041
0.042,0.042,0.042,1,7.163090612961281e-01,-7.163090612961281e-01,8.196165399040000e-01,9.019173004800002e-02,2.172126816013271e+00,2.177034628828072e+00,-3.034196707438532e-01,True,True,unmasked,True,0.042
0.042,0.042,0.042,2,7.163090612961280e-01,-7.163090612961280e-01,8.194245038080004e-01,9.028774809599997e-02,2.171855235961843e+00,2.176745450194788e+00,-3.039668067991558e-01,True,True,unmasked,True,0.042
0.043,0.043,0.043,1,7.104289163204046e-01,-7.104289163204046e-01,8.156911454239993e-01,9.215442728799994e-02,2.158259689128601e+00,2.163387427038717e+00,-3.214540983264640e-01,True,True,unmasked,True,0.043
0.043,0.043,0.043,2,7.104289163204045e-01,-7.104289163204045e-01,8.154852046257770e-01,9.225739768711104e-02,2.157968444858709e+00,2.163076849404782e+00,-3.220343498835926e-01,True,True,unmasked,True,0.043
0.044,0.044,0.044,1,7.045867052072954e-01,-7.045867052072954e-01,8.117824072817774e-01,9.410879635911105e-02,2.144469764445700e+00,2.149821482753459e+00,-3.391915672360722e-01,True,True,unmasked,True,0.044
0.044,0.044,0.044,2,7.045867052072954e-01,-7.045867052072954e-01,8.115619132302218e-01,9.421904338488882e-02,2.144157938767568e+00,2.149488463947430e+00,-3.398060281829733e-01,True,True,unmasked,True,0.044
0.045,0.045,0.045,1,6.987822478000001e-01,-6.987822478000001e-01,8.078902900000003e-01,9.605485499999999e-02,2.130756737011850e+00,2.136336444024401e+00,-3.566393588053245e-01,True,True,unmasked,True,0.045
0.045,0.045,0.045,2,6.987822478000001e-01,-6.987822478000001e-01,8.076545800000002e-01,9.617270999999994e-02,2.130423392733063e+00,2.135979916043592e+00,-3.572891267537627e-01,True,True,unmasked,True,0.045
0.046,0.046,0.046,1,6.930153645015037e-01,-6.930153645015037e-01,8.040147581439995e-01,9.799262092799996e-02,2.117120302726328e+00,2.122931960048184e+00,-3.738044507094923e-01,True,True,unmasked,True,0.046
0.046,0.046,0.046,2,6.930153645015036e-01,-6.930153645015036e-01,8.037631553991105e-01,9.811842230044442e-02,2.116764482712176e+00,2.122550828990709e+00,-3.744906265498309e-01,True,True,unmasked,True,0.046
0.047,0.047,0.047,1,6.872858762737276e-01,-6.872858762737276e-01,8.001557763217773e-01,9.992211183911104e-02,2.103560158339213e+00,2.109607681163919e+00,-3.906935362584570e-01,True,True,unmasked,True,0.047
0.047,0.047,0.047,2,6.872858762737277e-01,-6.872858762737277e-01,7.998875899768882e-01,1.000562050115555e-01,2.103180885573027e+00,2.109200827161207e+00,-3.914172237272836e-01,True,True,unmasked,True,0.047
0.048,0.048,0.048,1,6.815936046366713e-01,-6.815936046366713e-01,7.963133091839995e-01,1.018433454079999e-01,2.090076001450157e+00,2.096363258851083e+00,-4.073130420618658e-01,True,True,unmasked,True,0.048
0.048,0.048,0.048,2,6.815936046366715e-01,-6.815936046366715e-01,7.960278343679992e-01,1.019860828159999e-01,2.089672279093654e+00,2.095929536000882e+00,-4.080753473219829e-01,True,True,unmasked,True,0.048
0.049,0.049,0.049,1,6.759383716675623e-01,-6.759383716675623e-01,7.924873214239995e-01,1.037563392880000e-01,2.076667530507198e+00,2.083198345727435e+00,-4.236691442361683e-01,True,True,unmasked,True,0.049
0.049,0.049,0.049,2,6.759383716675623e-01,-6.759383716675623e-01,7.921838392924437e-01,1.039080803537778e-01,2.076238341960814e+00,2.082736582027321e+00,-4.244711754684890e-01,True,True,unmasked,True,0.049
0.05,0.05,0.05,1,6.703199999999992e-01,-6.703199999999992e-01,7.886777777777773e-01,1.056611111111110e-01,2.063334444805538e+00,2.070112595546911e+00,-4.397677833016964e-01,True,True,unmasked,True,0.05
0.05,0.05,0.05,2,6.703199999999995e-01,-6.703199999999995e-01,7.883555555555548e-01,1.058222222222221e-01,2.062878753768774e+00,2.069621592828319e+00,-4.406106503086126e-01,True,True,unmasked,True,0.05
0.051,0.051,0.051,1,6.647383128231037e-01,-6.647383128231037e-01,7.848846430239996e-01,1.075576784879999e-01,2.050076444486348e+00,2.057105663197511e+00,-4.556146779001635e-01,True,True,unmasked,True,0.051
0.051,0.051,0.051,2,6.647383128231036e-01,-6.647383128231036e-01,7.845429340479992e-01,1.077285329759999e-01,2.049593195018103e+00,2.056584197060310e+00,-4.564994917199898e-01,True,True,unmasked,True,0.051
0.052,0.052,0.052,1,6.591931338806615e-01,-6.591931338806615e-01,7.811078819840003e-01,1.094460590080000e-01,2.036893230535551e+00,2.044177204699180e+00,-4.712153374476845e-01,True,True,unmasked,True,0.052
0.052,0.052,0.052,2,6.591931338806615e-01,-6.591931338806615e-01,7.807459257457776e-01,1.096270371271111e-01,2.036381347114471e+00,2.043624024446805e+00,-4.721432099797992e-01,True,True,unmasked,True,0.052
0.053,0.053,0.053,1,6.536842874702714e-01,-6.536842874702714e-01,7.773474595217768e-01,1.113262702391110e-01,2.023784504782618e+00,2.031326877201674e+00,-4.865750738251637e-01,True,True,unmasked,True,0.053
0.053,0.053,0.053,2,6.536842874702713e-01,-6.536842874702713e-01,7.769644817102215e-01,1.115177591448888e-01,2.023242892367428e+00,2.030740705776835e+00,-4.875471174654886e-01,True,True,unmasked,True,0.053
0.054,0.054,0.054,1,6.482115984424958e-01,-6.482115984424958e-01,7.736033405439997e-01,1.131983297280000e-01,2.010749969899376e+00,2.018554338982442e+00,-5.016990121963825e-01,True,True,unmasked,True,0.054
0.054,0.054,0.054,2,6.482115984424958e-01,-6.482115984424958e-01,7.731985530879999e-01,1.134007234559999e-01,2.010177513989223e+00,2.017933872903423e+00,-5.027163394828665e-01,True,True,unmasked,True,0.054
0.055,0.055,0.055,1,6.427748921999996e-01,-6.427748921999996e-01,7.698754899999998e-01,1.150622550000000e-01,1.997789329398775e+00,2.005859249444448e+00,,False,True,unmasked,True,0.055
0.055,0.055,0.055,2,6.427748921999998e-01,-6.427748921999998e-01,7.694480911111106e-01,1.152759544444444e-01,1.997184896093565e+00,2.005203158742030e+00,,False,True,unmasked,True,0.055
0.056,0.056,0.056,1,6.373739946967037e-01,-6.373739946967037e-01,7.661638728817778e-01,1.169180635591111e-01,1.984902287633702e+00,1.993241269114042e+00,,False,True,unmasked,True,0.056
0.056,0.056,0.056,2,6.373739946967036e-01,-6.373739946967036e-01,7.657130470968881e-01,1.171434764515555e-01,1.984264723694443e+00,1.992548197269050e+00,,False,True,unmasked,True,0.056
0.057,0.057,0.057,1,6.320087324369277e-01,-6.320087324369277e-01,7.624684542239992e-01,1.187657728879999e-01,1.972088549795761e+00,1.980700059638780e+00,,False,True,unmasked,True,0.057
0.057,0.057,0.057,2,6.320087324369278e-01,-6.320087324369278e-01,7.619933724479997e-01,1.190033137760000e-01,1.971416682704906e+00,1.979968623520290e+00,,False,True,unmasked,True,0.057
0.058,0.058,0.058,1,6.266789324745383e-01,-6.266789324745383e-01,7.587891991039998e-01,1.206054004480000e-01,1.959347821914080e+00,1.968235283785266e+00,,False,True,unmasked,True,0.058
0.058,0.058,0.058,2,6.266789324745384e-01,-6.266789324745384e-01,7.582890186524442e-01,1.208554906737778e-01,1.958640459935857e+00,1.967464073589466e+00,,False,True,unmasked,True,0.058
0.059,0.059,0.059,1,6.213844224120961e-01,-6.213844224120961e-01,7.551260726417774e-01,1.224369636791111e-01,1.946679810854091e+00,1.955846605436949e+00,,False,True,unmasked,True,0.059
0.059,0.059,0.059,2,6.213844224120960e-01,-6.213844224120960e-01,7.545999372835557e-01,1.227000313582222e-01,1.945935743094849e+00,1.955034184626714e+00,,False,True,unmasked,True,0.059
0.06,0.06,0.06,1,6.161250303999996e-01,-6.161250303999996e-01,7.514790399999997e-01,1.242604799999999e-01,1.934084224316328e+00,1.943533689591947e+00,,False,True,unmasked,True,0.06
0.06,0.06,0.06,2,6.161250303999997e-01,-6.161250303999997e-01,7.509260799999997e-01,1.245369599999999e-01,1.933302220784878e+00,1.942678594837104e+00,,False,True,unmasked,True,0.06
0.061,0.061,0.061,1,6.109005851356377e-01,-6.109005851356377e-01,7.478480663840007e-01,1.260759668080000e-01,1.921560770835227e+00,1.931296202360843e+00,,False,True,unmasked,True,0.061
0.061,0.061,0.061,2,6.109005851356376e-01,-6.109005851356376e-01,7.472673985457779e-01,1.263663007271112e-01,1.920739582503178e+00,1.930396943479179e+00,,False,True,unmasked,True,0.061
0.062,0.062,0.062,1,6.057109158625278e-01,-6.057109158625278e-01,7.442331170417777e-01,1.278834414791111e-01,1.909109159777901e+00,1.919133810964460e+00,,False,True,unmasked,True,0.062
0.062,0.062,0.062,2,6.057109158625279e-01,-6.057109158625279e-01,7.436238447502220e-01,1.281880776248888e-01,1.908247518640004e+00,1.918188870863476e+00,,False,True,unmasked,True,0.062
0.063,0.063,0.063,1,6.005558523694721e-01,-6.005558523694721e-01,7.406341572640003e-01,1.296829213680000e-01,1.896729101342958e+00,1.907046183731667e+00,,False,True,unmasked,True,0.063
0.063,0.063,0.063,2,6.005558523694721e-01,-6.005558523694721e-01,7.399953705280001e-01,1.300023147360000e-01,1.895825720477443e+00,1.906054018351102e+00,,False,True,unmasked,True,0.063
0.064,0.064,0.064,1,5.954352249896955e-01,-5.954352249896955e-01,7.370511523839994e-01,1.314744238079999e-01,1.884420306559273e+00,1.895032990097123e+00,,False,True,unmasked,True,0.064
0.064,0.064,0.064,2,5.954352249896958e-01,-5.954352249896958e-01,7.363819278791106e-01,1.318090360604444e-01,1.883473880188188e+00,1.893992028352269e+00,,False,True,unmasked,True,0.064
0.065,0.065,0.065,1,5.903488645999996e-01,-5.903488645999996e-01,7.334840677777772e-01,1.332579661111110e-01,1.872182487284796e+00,1.883093900599058e+00,,False,True,unmasked,True,0.065
