d,q,gamma,ordering_class,T_xx,T_yy,T_zz,Q,fixed_chsh,s_max,diqkd_rate_raw,chsh_valid,chsh_sensitive,regime,shared_p,p
0.0035,0.0035,0.0035,2,9.734483142311541e-01,-9.734483142311541e-01,9.837778972002222e-01,8.111051399888887e-03,2.767935852838363e+00,2.767974401253861e+00,7.815327561169000e-01,True,True,unmasked,True,0.0035
0.0036,0.0036,0.0036,1,9.726979275040779e-01,-9.726979275040779e-01,9.833177899945984e-01,8.341105002700799e-03,2.766223955901568e+00,2.766264726515226e+00,7.765493767623125e-01,True,True,unmasked,True,0.0036
0.0036,0.0036,0.0036,2,9.726979275040778e-01,-9.726979275040778e-01,9.833176658771972e-01,8.341167061401601e-03,2.766223780373056e+00,2.766264550036317e+00,7.765486022775430e-01,True,True,unmasked,True,0.0036
0.0037,0.0037,0.0037,1,9.719479956458692e-01,-9.719479956458692e-01,9.828577496034058e-01,8.571125198296796e-03,2.764512796736370e+00,2.764555850183168e+00,7.716000728934291e-01,True,True,unmasked,True,0.0037
0.0037,0.0037,0.0037,2,9.719479956458690e-01,-9.719479956458690e-01,9.828576148619235e-01,8.571192569038041e-03,2.764512606183138e+00,2.764555658569450e+00,7.715992373234986e-01,True,True,unmasked,True,0.0037
0.0038,0.0038,0.0038,1,9.711985184533697e-01,-9.711985184533697e-01,9.823978900560231e-01,8.801054971987901e-03,2.762802536317352e+00,2.762847934022100e+00,7.666846357942816e-01,True,True,unmasked,True,0.0038
0.0038,0.0038,0.0038,2,9.711985184533697e-01,-9.711985184533697e-01,9.823977441013813e-01,8.801127949309141e-03,2.762802329906318e+00,2.762847726431193e+00,7.666837361777786e-01,True,True,unmasked,True,0.0038
0.0039,0.0039,0.0039,1,9.704494957234814e-01,-9.704494957234814e-01,9.819382113152785e-01,9.030894342360801e-03,2.761093174304723e+00,2.761140977632984e+00,7.618021889993044e-01,True,True,unmasked,True,0.0039
0.0039,0.0039,0.0039,2,9.704494957234815e-01,-9.704494957234815e-01,9.819380535425564e-01,9.030973228721595e-03,2.761092951180400e+00,2.761140753199593e+00,7.618012223176798e-01,True,True,unmasked,True,0.0039
0.004,0.004,0.004,1,9.697009272531631e-01,-9.697009272531631e-01,9.814787133440004e-01,9.260643328000001e-03,2.759384710358770e+00,2.759434980616894e+00,7.569519008621923e-01,True,True,unmasked,True,0.004
0.004,0.004,0.004,2,9.697009272531628e-01,-9.697009272531628e-01,9.814785431324445e-01,9.260728433777782e-03,2.759384469643278e+00,2.759434738452808e+00,7.569508640403536e-01,True,True,unmasked,True,0.004
0.0041,0.0041,0.0041,1,9.689528128394324e-01,-9.689528128394324e-01,9.810193961050234e-01,9.490301947487907e-03,2.757677144139872e+00,2.757729942575025e+00,7.521329811950898e-01,True,True,unmasked,True,0.0041
0.0041,0.0041,0.0041,2,9.689528128394324e-01,-9.689528128394324e-01,9.810192128180476e-01,9.490393590975815e-03,2.757676884932945e+00,2.757729681769110e+00,7.521318711019760e-01,True,True,unmasked,True,0.0041
0.0042,0.0042,0.0042,1,9.682051522793718e-01,-9.682051522793718e-01,9.805602595611902e-01,9.719870219404795e-03,2.755970475308512e+00,2.756025863108712e+00,7.473446782357570e-01,True,True,unmasked,True,0.0042
0.0042,0.0042,0.0042,2,9.682051522793720e-01,-9.682051522793720e-01,9.805600625463810e-01,9.719968726809591e-03,2.755970196687497e+00,2.756025582726898e+00,7.473434916848893e-01,True,True,unmasked,True,0.0042
0.0043,0.0043,0.0043,1,9.674579453701172e-01,-9.674579453701172e-01,9.801013036753425e-01,9.949348162328803e-03,2.754264703525249e+00,2.754322741819393e+00,7.425862759035764e-01,True,True,unmasked,True,0.0043
0.0043,0.0043,0.0043,2,9.674579453701173e-01,-9.674579453701173e-01,9.801010922644618e-01,9.949453867768712e-03,2.754264404545114e+00,2.754322440904667e+00,7.425850096536039e-01,True,True,unmasked,True,0.0043
0.0044,0.0044,0.0044,1,9.667111919088670e-01,-9.667111919088670e-01,9.796425284103283e-01,1.017873579483591e-02,2.752559828450735e+00,2.752620578308636e+00,7.378570913109583e-01,True,True,unmasked,True,0.0044
0.0044,0.0044,0.0044,2,9.667111919088670e-01,-9.667111919088670e-01,9.796423019193230e-01,1.017884904033849e-02,2.752559508144084e+00,2.752620255881041e+00,7.378557420662111e-01,True,True,unmasked,True,0.0044
0.0045,0.0045,0.0045,1,9.659648916928781e-01,-9.659648916928781e-01,9.791839337290000e-01,1.040803313550000e-02,2.750855849745716e+00,2.750919372178132e+00,7.331564725009916e-01,True,True,unmasked,True,0.0045
0.0045,0.0045,0.0045,2,9.659648916928781e-01,-9.659648916928781e-01,9.791836914580000e-01,1.040815427100000e-02,2.750855507122782e+00,2.750919027234753e+00,7.331550369119705e-01,True,True,unmasked,True,0.0045
0.0046,0.0046,0.0046,1,9.652190445194666e-01,-9.652190445194666e-01,9.787255195942146e-01,1.063724020289280e-02,2.749152767071022e+00,2.749219123029692e+00,7.284837963862050e-01,True,True,unmasked,True,0.0046
0.0046,0.0046,0.0046,2,9.652190445194665e-01,-9.652190445194665e-01,9.787252608275399e-01,1.063736958623005e-02,2.749152401119682e+00,2.749218754544649e+00,7.284822710501135e-01,True,True,unmasked,True,0.0046
0.0047,0.0047,0.0047,1,9.644736501860078e-01,-9.644736501860078e-01,9.782672859688316e-01,1.086635701558391e-02,2.747450580087577e+00,2.747519830465248e+00,7.238384668666255e-01,True,True,unmasked,True,0.0047
0.0047,0.0047,0.0047,2,9.644736501860077e-01,-9.644736501860077e-01,9.782670099749972e-01,1.086649501250115e-02,2.747450189773353e+00,2.747519437389692e+00,7.238368483278551e-01,True,True,unmasked,True,0.0047
0.0048,0.0048,0.0048,1,9.637287084899374e-01,-9.637287084899374e-01,9.778092328157174e-01,1.109538359214079e-02,2.745749288456395e+00,2.745821494086857e+00,7.192199131080008e-01,True,True,unmasked,True,0.0048
0.0048,0.0048,0.0048,2,9.637287084899374e-01,-9.637287084899374e-01,9.778089388474356e-01,1.109553057628159e-02,2.745748872722464e+00,2.745821075348961e+00,7.192181978586188e-01,True,True,unmasked,True,0.0048
0.0049,0.0049,0.0049,1,9.629842192287507e-01,-9.629842192287507e-01,9.773513600977422e-01,1.132431995112879e-02,2.744048891838582e+00,2.744124113496700e+00,7.146275879635147e-01,True,True,unmasked,True,0.0049
0.0049,0.0049,0.0049,2,9.629842192287505e-01,-9.629842192287505e-01,9.773510473919287e-01,1.132447630403537e-02,2.744048449605780e+00,2.744123668001649e+00,7.146257724437393e-01,True,True,unmasked,True,0.0049
0.005,0.005,0.005,1,9.622401821999994e-01,-9.622401821999994e-01,9.768936677777771e-01,1.155316611111110e-02,2.742349389895326e+00,2.742427688297072e+00,7.100609665243309e-01,True,True,unmasked,True,0.005
0.005,0.005,0.005,2,9.622401821999992e-01,-9.622401821999992e-01,9.768933355555546e-01,1.155333222222221e-02,2.742348920062152e+00,2.742427214927058e+00,7.100590471229993e-01,True,True,unmasked,True,0.005
0.0051,0.0051,0.0051,1,9.614965972012982e-01,-9.614965972012982e-01,9.764361558187021e-01,1.178192209064880e-02,2.740650782287914e+00,2.740732218090399e+00,7.055195447861583e-01,True,True,unmasked,True,0.0051
0.0051,0.0051,0.0051,2,9.614965972012981e-01,-9.614965972012981e-01,9.764358032854046e-01,1.178209835729760e-02,2.740650283730544e+00,2.740731715704614e+00,7.055175178411817e-01,True,True,unmasked,True,0.0051
0.0052,0.0052,0.0052,1,9.607534640303190e-01,-9.607534640303190e-01,9.759788241833989e-01,1.201058790830080e-02,2.738953068677718e+00,2.739037702479225e+00,7.010028384203163e-01,True,True,unmasked,True,0.0052
0.0052,0.0052,0.0052,2,9.607534640303190e-01,-9.607534640303190e-01,9.759784505285751e-01,1.201077473571270e-02,2.738952540249998e+00,2.739037169913848e+00,7.010007002191214e-01,True,True,unmasked,True,0.0052
0.0053,0.0053,0.0053,1,9.600107824847915e-01,-9.600107824847915e-01,9.755216728347516e-01,1.223916358262390e-02,2.737256248726194e+00,2.737344141066208e+00,6.965103816393882e-01,True,True,unmasked,True,0.0053
0.0053,0.0053,0.0053,2,9.600107824847915e-01,-9.600107824847915e-01,9.755212772321706e-01,1.223936138391448e-02,2.737255689259659e+00,2.737343577134407e+00,6.965081284193622e-01,True,True,unmasked,True,0.0053
