d,q,gamma,diamond_norm,trace_distance_for_|0>,trace_distance_for_|1>,trace_distance_for_|+>,trace_distance_for_|->,trace_distance_for_mixed_state,p_success,max_random_probe_trace_norm,shared_p,p
4.200000000000000e-02,4.200000000000000e-02,4.200000000000000e-02,2.352000000000000e-03,2.351999999999955e-03,2.352000000000173e-03,2.352000000000021e-03,2.352000000000021e-03,2.352000000000243e-03,5.005880000000000e-01,2.352000000000312e-03,True,4.200000000000000e-02
4.300000000000000e-02,4.300000000000000e-02,4.300000000000000e-02,2.465333333333333e-03,2.465333333333326e-03,2.465333333333236e-03,2.465333333333319e-03,2.465333333333319e-03,2.465333333333541e-03,5.006163333333333e-01,2.465333333333514e-03,True,4.300000000000000e-02
4.400000000000000e-02,4.400000000000000e-02,4.400000000000000e-02,2.581333333333333e-03,2.581333333333331e-03,2.581333333333241e-03,2.581333333333158e-03,2.581333333333158e-03,2.581333333333269e-03,5.006453333333334e-01,2.581333333333741e-03,True,4.400000000000000e-02
4.500000000000000e-02,4.500000000000000e-02,4.500000000000000e-02,2.700000000000000e-03,2.699999999999963e-03,2.700000000000174e-03,2.699999999999980e-03,2.699999999999980e-03,2.699999999999925e-03,5.006750000000000e-01,2.700000000000313e-03,True,4.500000000000000e-02
4.600000000000000e-02,4.600000000000000e-02,4.600000000000000e-02,2.821333333333333e-03,2.821333333333339e-03,2.821333333333328e-03,2.821333333333065e-03,2.821333333333065e-03,2.821333333333453e-03,5.007053333333333e-01,2.821333333333620e-03,True,4.600000000000000e-02
4.700000000000000e-02,4.700000000000000e-02,4.700000000000000e-02,2.945333333333333e-03,2.945333333333345e-03,2.945333333333328e-03,2.945333333333300e-03,2.945333333333300e-03,2.945333333333078e-03,5.007363333333333e-01,2.945333333333605e-03,True,4.700000000000000e-02
4.800000000000000e-02,4.800000000000000e-02,4.800000000000000e-02,3.072000000000000e-03,3.071999999999984e-03,3.071999999999978e-03,3.072000000000186e-03,3.072000000000186e-03,3.071999999999741e-03,5.007680000000000e-01,3.072000000000297e-03,True,4.800000000000000e-02
4.900000000000000e-02,4.900000000000000e-02,4.900000000000000e-02,3.201333333333334e-03,3.201333333333362e-03,3.201333333333126e-03,3.201333333333278e-03,3.201333333333278e-03,3.201333333333334e-03,5.008003333333333e-01,3.201333333333667e-03,True,4.900000000000000e-02
5.000000000000000e-02,5.000000000000000e-02,5.000000000000000e-02,3.333333333333334e-03,3.333333333333369e-03,3.333333333333369e-03,3.333333333333299e-03,3.333333333333299e-03,3.333333333333355e-03,5.008333333333334e-01,3.333333333333521e-03,True,5.000000000000000e-02
5.100000000000000e-02,5.100000000000000e-02,5.100000000000000e-02,3.467999999999999e-03,3.468000000000013e-03,3.467999999999916e-03,3.467999999999971e-03,3.467999999999971e-03,3.468000000000249e-03,5.008670000000000e-01,3.468000000000415e-03,True,5.100000000000000e-02
5.200000000000000e-02,5.200000000000000e-02,5.200000000000000e-02,3.605333333333333e-03,3.605333333333287e-03,3.605333333333280e-03,3.605333333333238e-03,3.605333333333238e-03,3.605333333333072e-03,5.009013333333333e-01,3.605333333333628e-03,True,5.200000000000000e-02
