p,scenario,trial,seed,n_transmissions,sifted_bits,qber,reference_qber,difference_from_reference
0.04,single,26,448458970,1000,482,0.024896265560165973,0.026666666666666658,-0.0017704011065006846
0.04,single,27,3952077779,1000,507,0.023668639053254437,0.026666666666666658,-0.0029980276134122207
0.04,single,28,2441212733,1000,507,0.015779092702169626,0.026666666666666658,-0.010887573964497032
0.04,single,29,2951635826,1000,503,0.02584493041749503,0.026666666666666658,-0.0008217362491716278
0.04,single,30,982687974,1000,479,0.029227557411273485,0.026666666666666658,0.0025608907446068273
0.04,single,31,3934360498,1000,497,0.03822937625754527,0.026666666666666658,0.011562709590878614
0.04,single,32,3970837447,1000,466,0.019313304721030045,0.026666666666666658,-0.007353361945636613
0.04,single,33,1124611152,1000,508,0.023622047244094488,0.026666666666666658,-0.00304461942257217
0.04,single,34,4213535012,1000,495,0.01616161616161616,0.026666666666666658,-0.010505050505050496
0.04,single,35,3693383011,1000,479,0.014613778705636743,0.026666666666666658,-0.012052887961029915
0.04,single,36,3540522684,1000,524,0.019083969465648856,0.026666666666666658,-0.0075826972010178025
0.04,single,37,1789241926,1000,493,0.018255578093306288,0.026666666666666658,-0.00841108857336037
0.04,single,38,1103464530,1000,516,0.025193798449612403,0.026666666666666658,-0.0014728682170542552
0.04,single,39,624007707,1000,526,0.013307984790874524,0.026666666666666658,-0.013358681875792134
0.04,single,40,2533578473,1000,487,0.043121149897330596,0.026666666666666658,0.016454483230663938
0.04,single,41,1886014803,1000,493,0.030425963488843813,0.026666666666666658,0.003759296822177155
0.04,single,42,2902901384,1000,502,0.029880478087649404,0.026666666666666658,0.0032138114209827456
0.04,single,43,2930008243,1000,508,0.023622047244094488,0.026666666666666658,-0.00304461942257217
0.04,single,44,895165804,1000,481,0.012474012474012475,0.026666666666666658,-0.014192654192654183
0.04,single,45,2807078676,1000,503,0.02186878727634195,0.026666666666666658,-0.004797879390324708
0.04,single,46,2020885406,1000,502,0.03386454183266932,0.026666666666666658,0.007197875166002662
0.04,single,47,2902853131,1000,475,0.02526315789473684,0.026666666666666658,-0.0014035087719298164
0.04,single,48,537973754,1000,488,0.030737704918032786,0.026666666666666658,0.004071038251366128
0.04,single,49,2391824573,1000,493,0.02028397565922921,0.026666666666666658,-0.006382691007437449
0.04,single,50,1274765142,1000,482,0.029045643153526972,0.026666666666666658,0.002378976486860314
0.05,single,1,3135259554,1000,535,0.04672897196261682,0.03333333333333323,0.013395638629283592
0.05,single,2,1677013899,1000,486,0.02263374485596708,0.03333333333333323,-0.01069958847736615
0.05,single,3,2928645124,1000,495,0.024242424242424242,0.03333333333333323,-0.009090909090908986
0.05,single,4,1447825299,1000,528,0.03598484848484849,0.03333333333333323,0.002651515151515259
0.05,single,5,4116432249,1000,496,0.03225806451612903,0.03333333333333323,-0.0010752688172041974
0.05,single,6,4076073668,1000,514,0.023346303501945526,0.03333333333333323,-0.009987029831387703
0.05,single,7,1857187187,1000,482,0.026970954356846474,0.03333333333333323,-0.0063623789764867544
0.05,single,8,9744280,1000,496,0.028225806451612902,0.03333333333333323,-0.005107526881720326
